"No.","Time","Source","Destination","Protocol","Length","Info"
"199","0.020125","192.168.1.10","192.168.1.20","CIP","120","'HMI_FIT201' - Service (0x4c)"
"200","0.020133","192.168.1.10","192.168.1.20","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"201","0.020247","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=423 Win=8130 Len=0"
"202","0.020252","192.168.1.10","192.168.1.60","CIP","128","'HMI_PLANT' - Service (0x4d)"
"203","0.020255","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=497 Win=8056 Len=0"
"204","0.020339","192.168.1.50","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"205","0.020344","192.168.1.50","192.168.1.40","CIP CM","128","Unconnected Send: 'HMI_FIT401' - Service (0x4c)"
"206","0.020347","192.168.1.10","192.168.1.60","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"207","0.020349","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=209 Ack=291 Win=8122 Len=0"
"208","0.020594","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=209 Ack=365 Win=8118 Len=0"
"209","0.020600","192.168.1.40","192.168.1.50","TCP","64","44818  >  54084 [ACK] Seq=1 Ack=207 Win=8122 Len=0"
"210","0.020603","192.168.1.10","192.168.1.40","CIP","128","'HMI_PLANT' - Service (0x4d)"
"211","0.020605","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=209 Ack=291 Win=8122 Len=0"
"212","0.020809","192.168.1.10","192.168.1.50","CIP","128","'HMI_PLANT' - Service (0x4d)"
"213","0.020815","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=159 Ack=355 Win=8122 Len=0"
"214","0.020816","192.168.1.10","192.168.1.30","CIP CM","140","Unconnected Send: 'HMI_PLANT_AUTO' - Service (0x4d)"
"215","0.021056","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=153 Ack=369 Win=8110 Len=0"
"216","0.021302","192.168.1.50","239.192.7.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001653687"
"217","0.021309","192.168.1.20","192.168.1.50","CIP I/O","90","Connection: ID=0x00CD4016, SEQ=0001637051"
"218","0.021313","192.168.1.40","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"219","0.021506","192.168.1.70","192.168.1.10","CIP I/O","90","Connection: ID=0x004D4017, SEQ=0001649371"
"220","0.021512","192.168.1.70","192.168.1.20","CIP I/O","90","Connection: ID=0x003C4007, SEQ=0001648674"
"221","0.022369","192.168.1.30","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"222","0.022379","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=369 Ack=203 Win=8142 Len=0"
"223","0.022381","192.168.1.30","192.168.1.10","CIP","142","Success: 'HMI_LIT301' - Service (0x4c)"
"224","0.022571","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=369 Ack=287 Win=8108 Len=0"
"225","0.022947","192.168.1.30","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"226","0.022950","192.168.1.30","192.168.1.20","CIP","148","Success: 'HMI_LIT301' - Service (0x4c)"
"227","0.022952","192.168.1.30","192.168.1.20","CIP","120","Success: 'HMI_MV301' - Service (0x4c)"
"228","0.022954","192.168.1.10","192.168.1.20","CIP I/O","90","Connection: ID=0x00BC4017, SEQ=0001625155"
"229","0.023109","192.168.1.20","192.168.1.30","TCP","64","52994  >  44818 [ACK] Seq=125 Ack=91 Win=8102 Len=0"
"230","0.023113","192.168.1.30","192.168.1.60","CIP","134","'P6_P602_AUTOINP' - Service (0x4d)"
"231","0.023114","192.168.1.20","192.168.1.30","TCP","64","52994  >  44818 [ACK] Seq=125 Ack=153 Win=8040 Len=0"
"232","0.023116","192.168.1.60","192.168.1.30","TCP","64","44818  >  52416 [ACK] Seq=95 Ack=77 Win=8116 Len=0"
"233","0.023346","192.168.1.200","192.168.1.50","CIP","112","Class (0xb2) - Service (0x4c)"
"234","0.023350","192.168.1.50","192.168.1.200","TCP","64","44818  >  56574 [ACK] Seq=541 Ack=109 Win=8138 Len=0"
"235","0.024576","192.168.1.50","192.168.1.40","CIP I/O","90","Connection: ID=0x003D4007, SEQ=0001630252"
"236","0.025488","192.168.1.30","192.168.1.40","CIP I/O","90","Connection: ID=0x01BD4016, SEQ=0001638693"
